cmpd,T,G,H,S
Al2O3,300,-0.031603669,0.000303881,0.0001063585
Al2O3,400,-0.044907706,0.018626108,0.00015883453499999998
Al2O3,500,-0.063176038,0.039604084,0.000205560242
Al2O3,600,-0.085837177,0.062257968,0.00024682524
Al2O3,700,-0.112387832,0.086057936,0.0002834939557142857
Al2O3,800,-0.142410116,0.110690988,0.00031637638000000005
Al2O3,900,-0.175559102,0.135959372,0.00034613163777777776
Al2O3,1000,-0.211549567,0.161729803,0.00037327937
Al2O3,1100,-0.25014168,0.18790838,0.0003982273272727273
Al2O3,1200,-0.291132508,0.214426491,0.0004212991658333333
Al2O3,1300,-0.334347722,0.241232316,0.0004427538753846154
Al2O3,1400,-0.37963642,0.268286262,0.00046280191571428575
Al2O3,1500,-0.426866974,0.2955562,0.00048161545
Al2O3,1600,-0.475923304,0.323016635,0.000499337461875
Al2O3,1700,-0.526702182,0.350646629,0.000516087535882353
Al2O3,1800,-0.579111779,0.378429186,0.0005319672027777778
