cmpd,G,H,S,T
Al2O3,-0.031603669,0.000303881,0.0001063585,300
Al2O3,-0.044907706,0.018626108,0.0001588345349999,400
Al2O3,-0.063176038,0.039604084,0.000205560242,500
Al2O3,-0.085837177,0.062257968,0.00024682524,600
Al2O3,-0.112387832,0.086057936,0.0002834939557142,700
Al2O3,-0.142410116,0.110690988,0.00031637638,800
Al2O3,-0.175559102,0.135959372,0.0003461316377777,900
Al2O3,-0.211549567,0.161729803,0.00037327937,1000
Al2O3,-0.25014168,0.18790838,0.0003982273272727,1100
Al2O3,-0.291132508,0.214426491,0.0004212991658333,1200
Al2O3,-0.334347722,0.241232316,0.0004427538753846,1300
Al2O3,-0.37963642,0.268286262,0.0004628019157142,1400
Al2O3,-0.426866974,0.2955562,0.00048161545,1500
Al2O3,-0.475923304,0.323016635,0.000499337461875,1600
Al2O3,-0.526702182,0.350646629,0.0005160875358823,1700
Al2O3,-0.579111779,0.378429186,0.0005319672027777,1800
AlN,-0.031314712,0.000289164,0.0001053462533333,300
AlN,-0.044387729,0.017740063,0.00015531948,400
AlN,-0.062207079,0.037895528,0.000200205214,500
AlN,-0.084262321,0.059806706,0.0002401150433333,600
AlN,-0.110085506,0.082896305,0.0002756883014285,700
AlN,-0.139278644,0.106811421,0.0003076125824999,800
AlN,-0.171506452,0.131326631,0.0003364812033333,900
AlN,-0.206489092,0.156290615,0.000362779707,1000
AlN,-0.243989739,0.181600249,0.0003868999890909,1100
AlN,-0.283806809,0.207180909,0.0004091564316666,1200
AlN,-0.325767736,0.232978183,0.0004298045530769,1300
AlN,-0.3697212,0.258951132,0.0004490516657142,1400
AlN,-0.41553713,0.285068664,0.0004670705293333,1500
AlN,-0.463098927,0.311305902,0.00048400301875,1600
AlN,-0.51230554,0.337643157,0.0004999698217647,1700
AlN,-0.563064207,0.364065917,0.0005150722911111,1800
Al2Se3,-0.096270094,0.000452506,0.0003224086633333,300
Al2Se3,-0.132232575,0.025274188,0.0003937669075,400
Al2Se3,-0.174549205,0.050807068,0.000450712546,500
Al2Se3,-0.22207369,0.077051148,0.0004985413966666,600
Al2Se3,-0.274049023,0.104006426,0.0005400792128571,700
Al2Se3,-0.329936674,0.131672695,0.00057701171125,800
Al2Se3,-0.389334508,0.160050371,0.0006104276422222,900
Al2Se3,-0.451929937,0.189139037,0.000641068974,1000
Al2Se3,-0.517473597,0.218938902,0.0006694659081818,1100
Al2Se3,-0.585761517,0.249449966,0.00069600957,1200
AlP,-0.073503653,0.000403171,0.0002463560833333,300
AlP,-0.101439084,0.022356325,0.0003094885225,400
AlP,-0.13495932,0.044634399,0.000359187438,500
AlP,-0.172995802,0.067238431,0.0004003903883333,600
AlP,-0.21484324,0.090166865,0.0004357287214285,700
AlP,-0.259998964,0.113421257,0.00046677527625,800
AlP,-0.30808934,0.13700057,0.0004945443444444,900
AlP,-0.358822097,0.160904804,0.000519726901,1000
AlP,-0.411965072,0.185134995,0.0005428182427272,1100
AlP,-0.467328082,0.209689589,0.0005641813925,1200
AlP,-0.52475307,0.23457014,0.0005840947776923,1300
AlP,-0.58410582,0.259775613,0.0006027724514285,1400
AlP,-0.645272322,0.285306006,0.000620385552,1500
AlP,-0.708152044,0.311162357,0.0006370715006249,1600
AlP,-0.772659481,0.33734311,0.0006529427005882,1700
AlP,-0.838716899,0.363849821,0.0006680926222222,1800
Al2Te3,-0.121768358,0.00046515,0.0004074450266666,300
Al2Te3,-0.166337565,0.025972535,0.00048077525,400
Al2Te3,-0.217435249,0.052200031,0.0005392705599999,500
Al2Te3,-0.273881329,0.079147225,0.0005883809233333,600
Al2Te3,-0.334896616,0.106814116,0.0006310153314285,700
Al2Te3,-0.399927035,0.135201119,0.00066891019375,800
